id,Fiscal Year Released,Recidivism Reporting Year,Main Supervising District,Release Type,Race - Ethnicity,Age At Release,Sex,Offense Classification,Offense Type,Offense Subtype,Return to Prison,Days to Return,Recidivism Type,New Offense Classification,New Offense Type,New Offense Sub Type,Target Population,Race,Ethnicity
90,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,,No Recidivism,,,,No,White , Non-Hispanic
91,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,,No Recidivism,,,,No,White , Non-Hispanic
92,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,,No Recidivism,,,,No,White , Non-Hispanic
93,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,,No Recidivism,,,,No,White , Non-Hispanic
94,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,,No Recidivism,,,,No,White , Non-Hispanic
95,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,,No Recidivism,,,,No,White , Non-Hispanic
96,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,,No Recidivism,,,,No,White , Non-Hispanic
97,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Female,D Felony,Drug,Drug Possession,No,,No Recidivism,,,,Yes,White , Non-Hispanic
98,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Drug,Drug Possession,Yes,323.0,New,D Felony,Violent,Assault,Yes,White , Non-Hispanic
99,2010,2013,1JD,Parole,White - Non-Hispanic,55 and Older,Female,D Felony,Property,Theft,Yes,593.0,New,Aggravated Misdemeanor,Property,Theft,Yes,White , Non-Hispanic
100,2010,2013,1JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Violent,Other Violent,Yes,737.0,New,Aggravated Misdemeanor,Property,Theft,Yes,White , Non-Hispanic
101,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,B Felony,Violent,Other Violent,Yes,846.0,Tech,,,,Yes,Black , Non-Hispanic
102,2010,2013,1JD,Parole,White - Non-Hispanic,45-54,Female,D Felony,Property,Theft,No,,No Recidivism,,,,Yes,White , Non-Hispanic
103,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Theft,Yes,216.0,Tech,,,,Yes,White , Non-Hispanic
104,2010,2013,7JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes,White , Non-Hispanic
105,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Property,Burglary,Yes,874.0,New,D Felony,Public Order,Weapons,No,White , Non-Hispanic
106,2010,2013,8JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Property,Burglary,No,,No Recidivism,,,,Yes,White , Non-Hispanic
107,2010,2013,7JD,Parole,Black - Non-Hispanic,35-44,Female,D Felony,Property,Theft,No,,No Recidivism,,,,Yes,Black , Non-Hispanic
108,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,25-34,Female,D Felony,Property,Burglary,No,,No Recidivism,,,,No,White , Non-Hispanic
109,2010,2013,NSD,Discharged – End of Sentence,Asian or Pacific Islander - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,Yes,146.0,Tech,,,,No,Asian or Pacific Islander , Non-Hispanic
110,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,Yes,White , Non-Hispanic
111,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,Yes,White , Non-Hispanic
112,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,Yes,White , Non-Hispanic
113,2010,2013,2JD,Parole,White - Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,449.0,Tech,,,,Yes,White , Hispanic
114,2010,2013,NSD,Discharged – End of Sentence,White - Hispanic,25-34,Male,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,No,White , Hispanic
115,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Property,Theft,Yes,127.0,Tech,,,,Yes,White , Non-Hispanic
116,2010,2013,1JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,403.0,New,D Felony,Drug,Drug Possession,Yes,Black , Non-Hispanic
117,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,1085.0,Tech,,,,Yes,White , Non-Hispanic
118,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,Yes,949.0,New,D Felony,Property,Theft,No,White , Non-Hispanic
119,2010,2013,NSD,Discharged – End of Sentence,White - Hispanic,35-44,Female,D Felony,Property,Theft,No,,No Recidivism,,,,No,White , Hispanic
120,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,55 and Older,Male,D Felony,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
121,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,C Felony,Property,Burglary,No,,No Recidivism,,,,No,White , Non-Hispanic
122,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,C Felony,Property,Burglary,No,,No Recidivism,,,,No,White , Non-Hispanic
123,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,C Felony,Property,Burglary,No,,No Recidivism,,,,No,White , Non-Hispanic
124,2010,2013,6JD,Parole,Black - Non-Hispanic,45-54,Male,Felony - Enhanced,Property,Theft,Yes,734.0,Tech,,,,Yes,Black , Non-Hispanic
125,2010,2013,8JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes,Black , Non-Hispanic
126,2010,2013,8JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes,Black , Non-Hispanic
127,2010,2013,8JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes,Black , Non-Hispanic
128,2010,2013,NSD,Discharged – End of Sentence,White - Hispanic,25-34,Male,C Felony,Violent,Sex,No,,No Recidivism,,,,No,White , Hispanic
129,2010,2013,6JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,No,,No Recidivism,,,,Yes,White , Non-Hispanic
130,2010,2013,6JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,No,,No Recidivism,,,,Yes,White , Non-Hispanic
131,2010,2013,7JD,Parole,White - Hispanic,55 and Older,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes,White , Hispanic
132,2010,2013,1JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Drug,Other Drug,Yes,494.0,New,Serious Misdemeanor,Public Order,OWI,Yes,White , Non-Hispanic
133,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhanced,Violent,Assault,No,,No Recidivism,,,,Yes,White , Non-Hispanic
134,2010,2013,7JD,Parole,White - Hispanic,25-34,Male,D Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes,White , Hispanic
135,2010,2013,8JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Violent,Robbery,Yes,46.0,Tech,,,,Yes,White , Non-Hispanic
136,2010,2013,7JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,541.0,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,Black , Non-Hispanic
137,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Violent,Assault,Yes,324.0,New,D Felony,Public Order,OWI,No,Black , Non-Hispanic
138,2010,2013,4JD,Parole,Black - Non-Hispanic,Under 25,Male,C Felony,Property,Theft,Yes,343.0,Tech,,,,Yes,Black , Non-Hispanic
139,2010,2013,2JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Property,Vandalism,Yes,58.0,New,Aggravated Misdemeanor,Public Order,Alcohol,Yes,White , Non-Hispanic
140,2010,2013,2JD,Parole,White - Hispanic,25-34,Male,D Felony,Public Order,OWI,No,,No Recidivism,,,,Yes,White , Hispanic
141,2010,2013,NSD,Discharged – End of Sentence,White - Hispanic,25-34,Male,D Felony,Drug,Drug Possession,No,,No Recidivism,,,,No,White , Hispanic
142,2010,2013,4JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Violent,Assault,Yes,16.0,Tech,,,,Yes,White , Non-Hispanic
143,2010,2013,5JD,Parole,White - Non-Hispanic,Under 25,Female,C Felony,Drug,Trafficking,Yes,273.0,Tech,,,,Yes,White , Non-Hispanic
144,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Public Order,Flight/Escape,No,,No Recidivism,,,,No,White , Non-Hispanic
145,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Public Order,Alcohol,Yes,353.0,New,Aggravated Misdemeanor,Public Order,OWI,No,White , Non-Hispanic
146,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Violent,Sex,Yes,555.0,New,D Felony,Drug,Trafficking,No,Black , Non-Hispanic
147,2010,2013,7JD,Parole,Black - Non-Hispanic,Under 25,Male,D Felony,Public Order,Weapons,No,,No Recidivism,,,,Yes,Black , Non-Hispanic
148,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,D Felony,Property,Vandalism,Yes,921.0,New,Aggravated Misdemeanor,Violent,Assault,No,Black , Non-Hispanic
149,2010,2013,3JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Property,Theft,Yes,516.0,Tech,,,,Yes,White , Non-Hispanic
150,2010,2013,5JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,No,,No Recidivism,,,,Yes,Black , Non-Hispanic
151,2010,2013,5JD,Parole,Black - Non-Hispanic,Under 25,Male,C Felony,Drug,Trafficking,Yes,235.0,New,B Felony,Drug,Trafficking,Yes,Black , Non-Hispanic
152,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Drug Possession,Yes,169.0,Tech,,,,Yes,White , Non-Hispanic
153,2010,2013,3JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Drug,Other Drug,Yes,182.0,Tech,,,,Yes,White , Non-Hispanic
154,2010,2013,1JD,Special Sentence,Black - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Assault,Yes,90.0,Tech,,,,Yes,Black , Non-Hispanic
155,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Violent,Sex,No,,No Recidivism,,,,Yes,White , Non-Hispanic
156,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Property,Arson,No,,No Recidivism,,,,Yes,White , Non-Hispanic
157,2010,2013,5JD,Parole,Black - Non-Hispanic,25-34,Female,C Felony,Property,Theft,Yes,442.0,New,Aggravated Misdemeanor,Property,Theft,Yes,Black , Non-Hispanic
158,2010,2013,1JD,Parole,White - Non-Hispanic,45-54,Male,Felony - Enhanced,Drug,Trafficking,Yes,194.0,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,White , Non-Hispanic
159,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,D Felony,Drug,Other Drug,No,,No Recidivism,,,,No,Black , Non-Hispanic
160,2010,2013,5JD,Parole,Black - Non-Hispanic,35-44,Male,C Felony,Property,Burglary,Yes,174.0,Tech,,,,Yes,Black , Non-Hispanic
161,2010,2013,5JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,Yes,Black , Non-Hispanic
